year,country,country_iso,lng,lat,accession_type,ref_result_yes,ref_result_no,total_votes
1958,Belgium,BEL,4.469936,50.503887,Founding Member,NA,NA,NA
1958,France,FRA,2.213749,46.227638,Founding Member,NA,NA,NA
1958,Germany,DEU,10.451526,51.165691,Founding Member,NA,NA,NA
1958,Italy,ITA,12.56738,41.871941,Founding Member,NA,NA,NA
1958,Luxembourg,LUX,6.129583,49.815273,Founding Member,NA,NA,NA
1958,Netherlands,NLD,5.6343227,52.2434979,Founding Member,NA,NA,NA
1973,Denmark,DNK,10.3333283,55.670249,Referendum,1958043,1135755,3093798
1973,United Kingdom,GBR,-3.2765753,54.7023545,Parliamentary Approval,NA,NA,NA
1973,Ireland,IRL,-7.9794599,52.865196,Referendum,1041890,211891,1253781
1981,Greece,GRC,21.9877132,38.9953683,Parliamentary Approval,NA,NA,NA
1986,Portugal,PRT,-8.1353519,39.6621648,Parliamentary Approval,NA,NA,NA
1986,Spain,ESP,-4.8379791,39.3260685,Parliamentary Approval,NA,NA,NA
1995,Austria,AUT,14.12456,47.59397,Referendum,3145981,1578850,4724831
1995,Finland,FIN,25.9209164,63.2467777,Referendum,1620726,1228261,2848987
1995,Sweden,SWE,14.5208584,59.6749712,Referendum,2833721,2539132,5372853
2004,Czech Republic,CZE,15.3381061,49.7439047,Referendum,3446758,1010448,4457206
2004,Cyprus,CYP,33.1451285,34.9823018,Parliamentary Approval,NA,NA,NA
2004,Estonia,EST,25.3319078,58.7523778,Referendum,369657,183454,553111
2004,Hungary,HUN,19.5060937,47.1817585,Referendum,3056027,592690,3648717
2004,Latvia,LVA,24.7537645,56.8406494,Referendum,676700,325980,1002680
2004,Lithuania,LTU,23.7499997,55.3500003,Referendum,1504264,147527,1651791
2004,Malta,MLT,14.4476911,35.8885993,Referendum,143094,123628,266722
2004,Poland,POL,19.134422,52.215933,Referendum,13514872,3935655,17450527
2004,Slovakia,SLK,19.4528646,48.7411522,Referendum,2012870,135031,2147901
2004,Slovenia,SLV,14.8153333,46.1199444,Referendum,869171,100503,969674
2007,Bulgaria,BGR,25.4856617,42.6073975,Parliamentary Approval,NA,NA,NA
2007,Romania,ROU,24.6859225,45.9852129,Parliamentary Approval,NA,NA,NA
2013,Croatia,HRV,15.6575209,45.3658443,Referendum,1299008,649490,1948498
